Major,Sex,Admission
C,F,Rejected
A,M,Accepted
C,M,Rejected
A,M,Rejected
A,M,Accepted
C,M,Accepted
C,F,Rejected
C,M,Rejected
C,F,Accepted
A,M,Rejected
A,M,Accepted
A,M,Rejected
A,M,Rejected
C,F,Accepted
C,F,Rejected
A,M,Rejected
C,F,Rejected
C,F,Rejected
C,M,Rejected
C,F,Accepted
C,F,Rejected
C,M,Accepted
C,F,Accepted
A,M,Accepted
C,F,Accepted
C,F,Rejected
A,M,Accepted
C,F,Rejected
A,M,Rejected
A,M,Accepted
C,M,Accepted
A,M,Accepted
A,M,Accepted
C,F,Accepted
A,F,Accepted
A,M,Accepted
A,M,Rejected
A,M,Accepted
A,M,Accepted
A,M,Rejected
C,M,Rejected
C,F,Rejected
A,M,Accepted
C,F,Rejected
A,M,Rejected
A,M,Accepted
C,F,Rejected
A,M,Accepted
A,M,Accepted
A,M,Accepted
C,F,Accepted
A,M,Rejected
A,M,Accepted
A,M,Accepted
A,M,Accepted
A,F,Accepted
A,M,Rejected
C,M,Rejected
A,M,Rejected
C,F,Accepted
A,M,Accepted
A,M,Rejected
C,F,Rejected
A,M,Rejected
C,F,Rejected
A,M,Accepted
C,F,Rejected
A,M,Accepted
C,F,Rejected
A,F,Accepted
A,M,Rejected
C,F,Rejected
A,M,Accepted
C,F,Rejected
A,M,Accepted
A,M,Accepted
A,M,Rejected
A,M,Accepted
C,F,Rejected
A,M,Rejected
C,F,Rejected
C,F,Rejected
A,M,Accepted
A,M,Rejected
A,F,Accepted
A,M,Accepted
C,F,Rejected
A,M,Accepted
A,F,Accepted
C,F,Rejected
A,M,Accepted
A,F,Accepted
A,M,Accepted
A,M,Accepted
A,M,Rejected
A,M,Accepted
C,F,Rejected
A,M,Accepted
C,F,Accepted
C,M,Rejected
C,F,Accepted
A,M,Accepted
A,F,Accepted
A,M,Accepted
A,M,Accepted
A,M,Accepted
A,M,Accepted
A,M,Accepted
C,F,Rejected
C,M,Rejected
A,M,Accepted
A,M,Accepted
A,M,Accepted
C,F,Accepted
A,M,Accepted
A,F,Rejected
A,M,Accepted
A,M,Rejected
A,M,Rejected
A,M,Accepted
A,F,Accepted
A,M,Accepted
A,M,Accepted
A,M,Accepted
A,M,Rejected
A,M,Rejected
A,M,Rejected
A,M,Accepted
A,M,Accepted
A,M,Accepted
C,F,Rejected
A,M,Rejected
